Region,1 Bed Apartment,2 Bed House,3 Bed House,4 Bed House,5 Bed House
Dublin 1,"€1,500","€1,787","€2,231","€2,710","€3,041"
Dublin 2,"€1,665","€2,038","€2,402","€2,931","€3,170"
Dublin 3,"€1,537","€1,853","€2,103","€2,458","€2,813"
Dublin 4,"€1,817","€2,135","€2,408","€2,796","€3,129"
Dublin 5,"€1,529","€1,732","€1,949","€2,251","€2,462"
Dublin 6,"€1,761","€1,993","€2,244","€2,592","€2,834"
Dublin 6w,"€1,632","€1,848","€2,080","€2,402","€2,627"
Dublin 7,"€1,607","€1,819","€2,048","€2,365","€2,586"
Dublin 8,"€1,652","€1,871","€2,106","€2,432","€2,659"
Dublin 9,"€1,539","€1,742","€1,962","€2,265","€2,477"
Dublin 10,"€1,420","€1,608","€1,810","€2,091","€2,286"
Dublin 11,"€1,463","€1,656","€1,865","€2,153","€2,355"
Dublin 12,"€1,521","€1,723","€1,939","€2,240","€2,449"
Dublin 13,"€1,525","€1,726","€1,943","€2,244","€2,454"
Dublin 14,"€1,612","€1,825","€2,055","€2,373","€2,595"
Dublin 15,"€1,430","€1,619","€1,822","€2,105","€2,301"
Dublin 16,"€1,534","€1,737","€1,955","€2,258","€2,469"
Dublin 17,"€1,542","€1,745","€1,965","€2,269","€2,481"
Dublin 18,"€1,646","€1,863","€2,098","€2,423","€2,649"
Dublin 20,"€1,504","€1,702","€1,917","€2,213","€2,420"
Dublin 22,"€1,407","€1,593","€1,794","€2,072","€2,265"
Dublin 24,"€1,451","€1,643","€1,849","€2,136","€2,335"
