RENTALADDRESS	RENTALTYPE	RENTALEIRCODE	RENTALLAT	RENTALLNG	RENTALCOST	PAYMENTFREQUENCY	RENTALBEDROOMS	RENTALBATHROOMS	POSTALCODE
" Metropolitan Apartments, Kilmainham, Dublin 8"	Apartment		53.3419427	-6.3139548	1650	Monthly	1	1	Dublin 8
" 9 Watermill Grove, Oldbawn,   Dublin 24"	Studio		53.2788689	-6.3615204	700	Monthly	1	1	Dublin 24
" Estate Cottages, Shelbourne Road, Ballsbridge, Dublin 4, D04"	House		53.3303959	-6.2310965	2250	Monthly	2	1	Dublin 4
" parkview, Stepaside,   Dublin 18"	Apartment		53.2597904	-6.2230662	1500	Monthly	1	1	Dublin 18
" Apartment 118, Block 3, Parklands, Northwood, Santry,   Dublin 9"	Apartment		53.4068222	-6.2508156	1750	Monthly	2	2	Dublin 9
" 3 Baltrasna House, IFSC,   Dublin 1"	Studio		53.3494306	-6.2386257	1700	Monthly	1	2	Dublin 1
" APARTMENT 92, BLOCK C, SEVEN OAKS, Ballyfermot,   Dublin 10, D10V658"	Apartment	D10V658	53.3412376	-6.3279418	1200	Monthly	1	1	Dublin 10
" 3 Cloonlara Square, Dublin 15, Dublin"	Apartment		53.3733658	-6.3375763	1560	Monthly	1	1	Dublin 15
" 82 Marlborough Court Marlborough street Dublin 1 , Marlborough Street,   Dublin 1, D01TF44"	Apartment	D01TF44	53.3515035	-6.2581547	1550	Monthly	1	1	Dublin 1
" Mews 28, Palmerston Road, Rathmines Dublin 6., Rathmines,   Dublin 6"	Semi-Detached		53.3174944	-6.2593863	2500	Monthly	2	1	Dublin 6
" West End Gate D24, Tallaght,   Dublin 24"	Apartment		53.2854499	-6.3762619	1750	Monthly	2	2	Dublin 24
" 14  Richmond Hill, Rathmines, Dublin"	Apartment		53.3268533	-6.2629218	1500	Monthly	2	1	
" Shantalla Drive, Beaumont,   Dublin 9"	Semi-Detached		53.3862523	-6.2351363	2700	Monthly	4	1	Dublin 9
" St mochtas green, Clonsilla,   Dublin 15"	Semi-Detached		53.3806222	-6.3963827	2200	Monthly	3	3	Dublin 15
" Apartment 107 Neptune, Honeypark, Dun Laoghaire,   South County Dublin, A96C5C9"	Apartment	A96C5C9	53.2800386	-6.1437728	2178	Monthly	2	3	
" Apartment 2, 30 Philipsbourgh Avenue, Fairveiw, Fairview,   Dublin 3,  D03 NV91 "	Apartment	D03 NV91	53.3646482	-6.2396754	1650	Monthly	1	1	Dublin 3
" 66 Temple Gardens, Santry,   Dublin 9, D09FP79"	Apartment	D09FP79	53.4061696	-6.2472783	1700	Monthly	2	2	Dublin 9
" 59 Bolton Sq Domnick Street Dublin 1, Parnell Square,   Dublin 1"	Apartment		53.3524311	-6.2676835	1400	Monthly	1	1	Dublin 1
" 24 Grafton Street, Grafton Street,   Dublin 2, D02 K033"	Apartment	D02 K033	53.3417559	-6.2599405	1440	Monthly	2	1	Dublin 2
" Shandon Mill, Phibsborough, Dublin 7, Phibsboro,   Dublin 7"	Apartment		53.3653727	-6.2766576	1870	Monthly	2	1	Dublin 7
" Metropolitan Apartments, Kilmainham, Dublin 8"	Apartment		53.3419427	-6.3139548	1650	Monthly	1	1	Dublin 8
" 9 Watermill Grove, Oldbawn,   Dublin 24"	Studio		53.2788689	-6.3615204	700	Monthly	1	1	Dublin 24
" Estate Cottages, Shelbourne Road, Ballsbridge, Dublin 4, D04"	House		53.3303959	-6.2310965	2250	Monthly	2	1	Dublin 4
" parkview, Stepaside,   Dublin 18"	Apartment		53.2597904	-6.2230662	1500	Monthly	1	1	Dublin 18
" Apartment 118, Block 3, Parklands, Northwood, Santry,   Dublin 9"	Apartment		53.4068222	-6.2508156	1750	Monthly	2	2	Dublin 9
" 3 Baltrasna House, IFSC,   Dublin 1"	Studio		53.3494306	-6.2386257	1700	Monthly	1	2	Dublin 1
" APARTMENT 92, BLOCK C, SEVEN OAKS, Ballyfermot,   Dublin 10, D10V658"	Apartment	D10V658	53.3412376	-6.3279418	1200	Monthly	1	1	Dublin 10
" 3 Cloonlara Square, Dublin 15, Dublin"	Apartment		53.3733658	-6.3375763	1560	Monthly	1	1	Dublin 15
" 82 Marlborough Court Marlborough street Dublin 1 , Marlborough Street,   Dublin 1, D01TF44"	Apartment	D01TF44	53.3515035	-6.2581547	1550	Monthly	1	1	Dublin 1
" Mews 28, Palmerston Road, Rathmines Dublin 6., Rathmines,   Dublin 6"	Semi-Detached		53.3174944	-6.2593863	2500	Monthly	2	1	Dublin 6
" West End Gate D24, Tallaght,   Dublin 24"	Apartment		53.2854499	-6.3762619	1750	Monthly	2	2	Dublin 24
" 14  Richmond Hill, Rathmines, Dublin"	Apartment		53.3268533	-6.2629218	1500	Monthly	2	1	
" Shantalla Drive, Beaumont,   Dublin 9"	Semi-Detached		53.3862523	-6.2351363	2700	Monthly	4	1	Dublin 9
" St mochtas green, Clonsilla,   Dublin 15"	Semi-Detached		53.3806222	-6.3963827	2200	Monthly	3	3	Dublin 15
" Apartment 107 Neptune, Honeypark, Dun Laoghaire,   South County Dublin, A96C5C9"	Apartment	A96C5C9	53.2800386	-6.1437728	2178	Monthly	2	3	
" Apartment 2, 30 Philipsbourgh Avenue, Fairveiw, Fairview,   Dublin 3,  D03 NV91 "	Apartment	D03 NV91	53.3646482	-6.2396754	1650	Monthly	1	1	Dublin 3
" 66 Temple Gardens, Santry,   Dublin 9, D09FP79"	Apartment	D09FP79	53.4061696	-6.2472783	1700	Monthly	2	2	Dublin 9
" 59 Bolton Sq Domnick Street Dublin 1, Parnell Square,   Dublin 1"	Apartment		53.3524311	-6.2676835	1400	Monthly	1	1	Dublin 1
" 24 Grafton Street, Grafton Street,   Dublin 2, D02 K033"	Apartment	D02 K033	53.3417559	-6.2599405	1440	Monthly	2	1	Dublin 2
" Shandon Mill, Phibsborough, Dublin 7, Phibsboro,   Dublin 7"	Apartment		53.3653727	-6.2766576	1870	Monthly	2	1	Dublin 7
" 49 Herberton Drive , Crumlin,   Dublin 12"	Bungalow		53.3317334	-6.2959037	1500	Monthly	1	1	Dublin 12
" 98 Parkgate Place, Parkgate Street, Dublin 8, Islandbridge"	Apartment		53.3474734	-6.2945416	2000	Monthly	2	2	Dublin 8
" Guinness Cottages, Rialto, Dublin 8"	House		53.3372691	-6.2961841	2950	Monthly	2	1	Dublin 8
" The Locks, Charlotte Quay Dock, Grand Canal Dk,   Dublin 4"	Apartment		53.3422252	-6.2360342	3200	Monthly	3	2	Dublin 4
" 6 Tivoli Terrace, Dun Laoghaire, Dublin"	Apartment		53.2908454	-6.1415711	2595	Monthly	2	1	
" Dalkey Sandycove Residence , Dalkey, Dublin"	Detached		53.2779417	-6.1058581	14950	Monthly	5	5	
" 37 Bolton Street, North City Centre,   Dublin 1, D01X991"	Apartment	D01X991	53.3525127	-6.269035	900	Monthly	2	1	Dublin 1
" Lime Court, 78 Francis Street, Christchurch, South City Centre - D8,   Dublin South"	Apartment		53.3394254	-6.2738438	2300	Monthly	1	1	Dublin 8
" 39 Boroimhe Hawthorns, Swords,   North County Dublin"	Apartment		53.4468901	-6.236316	POA	Monthly	2	2	
" The Cottage , The Rath, Sandyhill, Rolestown, Co Dublin, Rolestown,   North County Dublin"	Semi-Detached		53.49358	-6.2983099	2650	Monthly	5	3	
" 12 Red Arches Close, , Baldoyle,   Dublin 13, D13 AT27"	Terraced House	D13 AT27	53.4018172	-6.1424894	1872	Monthly	2	2	Dublin 13
" Sorrento Road Dalkey, Dalkey,   South County Dublin"	Apartment		53.2738481	-6.0975547	1595	Monthly	1	1	
" 2 Hollywoodrath Avenue, Hollystown, Dublin 15"	Apartment		53.4242145	-6.377059	2400	Monthly	4	0	Dublin 15
" Hanover Riverside, Grand Canal Dk, Dublin 2"	Penthouse		53.3455577	-6.2378696	3250	Monthly	2	2	Dublin 2
" Hanover Riverside, Grand Canal Dk, Dublin 2"	Penthouse		53.3455577	-6.2378696	3250	Monthly	2	2	Dublin 2
" 3 Main Street, Clongriffin, Dublin 13"	Apartment		53.4022601	-6.1514775	1600	Monthly	2	2	Dublin 13
" 41 Castledawswon ave, Sion hill, Blackrock, Co. Dublin"	Apartment		53.3050561	-6.1884792	2800	Monthly	3	2	
" 19 Main Street, Clongriffin, Dublin 13"	Apartment		53.40234	-6.1525035	1700	Monthly	2	2	Dublin 13
" 100 Connaught Street, Phibsboro, Dublin 7"	House		53.3633207	-6.2782096	2281	Monthly	3	0	Dublin 7
" 55 Adamstown Way, Lucan, Dublin"	Apartment		53.3386862	-6.4629749	1612	Monthly	3	0	
" Thomas Street, South City Centre - D8, Dublin 8"	Apartment		53.3393522	-6.251457	1850	Monthly	1	1	Dublin 8
" Sundale Park, Tallaght, Dublin 24"	Semi-Detached		53.2837099	-6.4093584	2000	Monthly	3	2	Dublin 24
" The Atrium, Block B, Foley Street, Dublin 1, North City Centre, Dublin 1"	Apartment		53.3526878	-6.2501218	2200	Monthly	2	2	Dublin 1
" 17 The Schooner, Alverno, Castle Avenue, Clontarf, Dublin 3"	Apartment		53.3607357	-6.2102223	2000	Monthly	2	1	Dublin 3
" Leonards Court, Christchurch, Dublin 8"	Apartment		53.3425185	-6.271268	1300	Monthly	1	1	Dublin 8
" Blessington Street, North City Centre, Dublin 7"	Apartment		53.3566748	-6.2676094	1750	Monthly	2	1	Dublin 7
" 54 Belarmine Place, Stepaside, Dublin 18"	House		53.2578473	-6.2175655	2200	Monthly	3	2	Dublin 18
" Ashcroft, Raheny, Dublin 5"			53.3829137	-6.1757535	2050	Monthly	3	1	Dublin 5
" Carrigmore Crescent, Citywest, County Dublin"	Apartment		53.2833435	-6.4262328	1400	Monthly	1	1	
" 51 Elmwood Avenue, Ranelagh, Dublin 6, D06A8P3"	Apartment	D06A8P3	53.3913924	-6.4249115	4360	Monthly	5	3	Dublin 6
" 81 Batchelors Walk Apartments, North City Centre, Dublin 1"	Apartment		53.3512665	-6.2588081	2200	Monthly	2	1	Dublin 1
" 41 The Waterfront, Grand Canal Dk, Dublin 2"	Apartment		53.344003	-6.2341582	2400	Monthly	2	2	Dublin 2
" The Waterside, Charlotte Quay Dock, Grand Canal Dk, Dublin 4"	Apartment		53.3422252	-6.2360342	1570	Monthly	1	1	Dublin 4
" Grand Canal Wharf, South Dock Street, Grand Canal Dk, Dublin 4, D04YX05"	Apartment	D04YX05	53.3422883	-6.23157	2300	Monthly	2	2	Dublin 4
" Gallery Quay Block 3, Grand Canal Dk, Dublin 2"	Apartment		53.342814	-6.240179	2100	Monthly	1	1	Dublin 2
" Gallery Quay, Block 1, Grand Canal Dk, Dublin 2"	Apartment		53.342814	-6.240179	2200	Monthly	2	2	Dublin 2
" The Westmoreland, Grand Canal Dk, Dublin 4"	Apartment		53.3422621	-6.2361433	2100	Monthly	2	2	Dublin 4
" College Gate, Townsend Sreet, South City Centre, Dublin 2, D02K409"	Apartment	D02K409	53.3393522	-6.251457	1650	Monthly	1	1	Dublin 2
" Quayside Quarter @ Dublin Landings, North Wall Quay, North Wall, Dublin 1"	Apartment		53.3471988	-6.2326983	3500	Monthly	2	2	Dublin 1
" Malahide Marina, Malahide, County Dublin"	Apartment		53.4558792	-6.154167	2500	Monthly	2	2	
" Adelaide Square, South City Centre - D8, Dublin 8, D08YOA5"	Apartment		53.3399246	-6.2677826	2400	Monthly	2	2	Dublin 8
" Hybreasal House, South Circular Road, Dublin 8"	Apartment		53.3388279	-6.3051581	1550	Monthly	1	1	Dublin 8
